countryData,subregion,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020,max_2021,max_2022,max_2023
Kazakhstan,Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,3
Kenya,Eastern Africa,1,2,1,1,2,1,1,1,1,2,2,2,2,3,2,2,2,2,3,2
Kosovo,Southern Europe,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Kuwait,Western Asia,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Kyrgyzstan,Central Asia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
Laos,South-Eastern Asia,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1
Latvia,Northern Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lebanon,Western Asia,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,7,2,2,2
Lesotho,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Northern Africa,1,1,0,1,1,1,1,9,2,1,1,2,1,1,1,1,1,1,1,2
Liechtenstein,Western Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Northern Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luxembourg,Western Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madagascar,Eastern Africa,0,2,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
Malawi,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,South-Eastern Asia,4,4,4,4,4,4,5,6,5,6,12,7,6,7,7,6,6,6,6,6
Mali,Western Africa,0,0,0,0,0,0,1,0,1,2,1,2,0,1,0,1,1,0,1,1
Mauritania,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,Eastern Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mexico,Central America,19,18,16,15,15,17,23,18,16,15,22,16,15,16,19,15,17,17,20,18
Moldova,Eastern Europe,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mongolia,Eastern Asia,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
Montenegro,Southern Europe,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Morocco,Northern Africa,4,4,5,5,5,5,5,5,5,4,4,4,4,4,7,4,4,4,28,8
Mozambique,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Myanmar,South-Eastern Asia,1,1,1,2,4,1,1,1,2,2,1,2,2,4,1,2,1,3,1,1
Namibia,Southern Africa,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nepal,Southern Asia,1,1,1,1,1,1,1,1,1,2,2,7,2,3,3,3,2,3,4,5
Netherlands,Western Europe,11,10,10,8,9,7,12,6,7,5,14,5,5,6,6,6,6,8,9,9
New Zealand,Australia and New Zealand,10,9,7,6,6,6,7,7,6,6,6,6,7,6,6,12,7,7,6,11
Nicaragua,Central America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Niger,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nigeria,Western Africa,2,2,2,2,2,2,3,3,3,4,7,4,4,4,7,4,4,4,5,5
North Korea,Eastern Asia,1,1,2,0,0,1,3,1,1,8,1,1,1,9,2,1,3,1,1,1
North Macedonia,Southern Europe,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,2,2,1
Norway,Northern Europe,3,3,3,2,2,3,2,5,2,2,3,2,2,3,3,3,3,3,3,3
Oman,Western Asia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Pakistan,Southern Asia,5,5,3,4,4,5,8,9,10,9,8,8,8,8,8,11,8,9,15,18
Palau,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,Central America,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,1,2
Papua New Guinea,Melanesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,South America,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,2,2,2
Peru,South America,10,9,8,8,8,6,6,7,5,5,5,6,6,6,8,6,6,8,8,6
Philippines,South-Eastern Asia,6,5,5,5,5,5,6,6,7,10,7,7,7,7,7,7,7,8,10,8
Poland,Eastern Europe,7,7,8,7,7,7,8,5,7,4,5,5,8,7,9,6,8,8,12,7
Portugal,Southern Europe,8,5,6,5,6,5,8,4,6,3,6,4,7,6,14,5,5,9,10,5
Qatar,Western Asia,1,1,1,1,1,1,3,2,2,2,2,2,2,5,3,3,2,5,43,4
Republic of Serbia,Southern Europe,1,1,2,1,2,2,4,2,2,2,2,2,2,1,4,2,2,2,3,2
Republic of the Congo,Middle Africa,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
Romania,Eastern Europe,3,3,3,4,4,4,4,3,3,2,2,2,4,3,3,3,3,3,4,3
Russia,Eastern Europe,10,7,8,7,9,7,8,8,9,14,14,13,11,12,36,11,14,12,58,14
